keyword,position,url,healing_psychiatry_position,mymindcare_position,orlando_health_position
psychiatrist orlando,Not in top 20,N/A,N/A,N/A,6
psychiatry orlando,Not in top 20,N/A,N/A,N/A,10
child psychiatrist orlando,Not in top 20,N/A,N/A,N/A,1
adhd psychiatrist orlando,Not in top 20,N/A,6,N/A,N/A
anxiety psychiatrist orlando,Not in top 20,N/A,10,N/A,N/A
bipolar psychiatrist orlando,Not in top 20,N/A,N/A,N/A,N/A
medication management orlando,Not in top 20,N/A,N/A,N/A,6
telepsychiatry orlando,Not in top 20,N/A,N/A,N/A,10
same day psychiatrist orlando,Not in top 20,N/A,N/A,N/A,N/A
psychiatrist orlando accepts cigna,Not in top 20,N/A,N/A,N/A,N/A
psychiatrist orlando accepts bcbs,9,https://empathyhealthclinic.com/find-a-psychiatrist-that-takes-blue-cross-blue-shield-bcbs-coverage/,N/A,N/A,N/A
psychiatrist orlando accepts umr,6,https://empathyhealthclinic.com/umr-umr-coverage,N/A,N/A,N/A
